State,Date,Body Aches,Fatigue,Flu-like,Seasonal Cold,Trouble Breathing,Nausea or Diarrhea,Loss of Appetite,Fever,Changes in Smell or Taste,Abdominal Pain,Chills,Cough,Headache
Alabama,2020-05-21,1,5,13,0,3,0,0,1,4,0,0,0,0
Alabama,2020-05-22,1,1,5,0,1,1,0,3,1,0,0,1,0
Alabama,2020-05-23,0,3,6,0,0,0,0,0,2,0,0,0,0
Alabama,2020-05-24,1,0,8,0,1,1,0,0,1,0,0,3,0
Alabama,2020-05-25,0,1,14,0,4,0,0,21,3,0,0,0,0
Alabama,2020-05-26,0,16,14,0,1,1,0,18,2,0,0,0,0
Alabama,2020-05-27,0,11,5,0,3,1,0,1,3,0,0,0,0
Alabama,2020-05-28,4,2,12,0,4,0,0,3,0,0,0,0,0
Alabama,2020-05-29,2,1,7,0,41,0,0,0,2,0,0,0,0
Alabama,2020-05-30,2,1,1,0,2,0,0,1,0,0,0,0,0
Alabama,2020-05-31,2,0,1,0,2,0,0,1,0,0,0,0,0
Alabama,2020-06-01,0,0,2,0,0,0,0,0,0,0,0,0,0
Alabama,2020-06-02,0,0,1,0,3,0,0,2,0,0,0,1,0
Alabama,2020-06-03,1,1,1,0,6,0,0,0,2,0,0,1,0
Alabama,2020-06-04,1,1,4,0,9,0,0,1,0,0,0,1,0
Alabama,2020-06-05,1,0,5,0,1,0,0,0,2,0,0,0,0
Alabama,2020-06-06,0,3,1,0,0,0,1,0,0,0,0,0,0
Alabama,2020-06-07,0,0,0,0,2,0,0,1,0,0,0,1,0
Alabama,2020-06-08,0,0,4,0,1,1,0,3,1,0,0,2,0
Alabama,2020-06-10,2,1,3,0,2,0,0,0,0,0,0,2,0
Alabama,2020-06-11,0,3,1,0,1,0,0,2,3,0,0,1,1
Alabama,2020-06-12,1,2,8,0,0,2,0,3,0,0,0,2,0
Alabama,2020-06-13,16,1,0,2,9,0,0,2,2,0,0,2,0
Alabama,2020-06-14,0,1,4,0,3,0,0,0,0,0,0,1,0
Alabama,2020-06-15,0,10,11,0,9,0,0,1,0,0,0,1,0
Alabama,2020-06-16,0,0,10,0,7,1,0,0,1,0,0,3,0
Alabama,2020-06-17,0,10,6,0,3,1,0,0,1,0,0,0,0
Alabama,2020-06-18,2,3,10,1,5,0,0,3,4,0,0,0,0
Alabama,2020-06-19,0,1,11,1,2,0,0,0,1,0,0,0,0
Alabama,2020-06-22,8,0,5,0,1,0,0,0,16,0,3,1,0
Alabama,2020-06-23,6,6,27,0,21,0,0,3,1,0,3,11,0
Alabama,2020-06-24,0,6,63,1,2,2,0,0,2,0,0,12,0
Alabama,2020-06-25,0,55,11,0,2,0,0,0,7,0,0,5,0
Alabama,2020-06-26,0,33,20,0,8,0,0,1,0,0,0,5,0
Alabama,2020-06-27,0,4,11,0,8,0,0,4,0,0,0,0,0
Alabama,2020-06-29,1,3,24,2,4,0,0,0,1,0,0,1,0
Alabama,2020-06-30,0,4,10,0,6,1,0,2,0,0,0,0,0
Alabama,2020-07-01,0,4,27,0,2,0,0,11,2,0,0,3,0
Alabama,2020-07-02,26,9,8,0,7,0,0,2,2,0,0,0,0
Alabama,2020-07-03,5,11,17,2,7,0,2,11,6,0,2,5,2
Alabama,2020-07-04,1,5,14,0,9,0,2,91,4,0,0,2,0
Alabama,2020-07-05,2,3,4,0,2,0,0,12,0,0,0,0,0
Alabama,2020-07-06,3,9,12,1,10,0,0,4,0,0,0,1,1
Alabama,2020-07-07,0,3,35,0,2,0,0,5,0,0,0,0,1
Alabama,2020-07-08,4,2,18,0,7,0,0,7,2,0,0,1,0
Alabama,2020-07-09,5,8,23,3,10,0,2,4,2,0,0,1,1
Alabama,2020-07-10,16,13,13,1,25,0,2,2,2,0,0,0,0
Alabama,2020-07-11,1,5,12,1,10,0,0,2,4,0,0,1,1
Alabama,2020-07-12,1,1,18,0,5,0,0,2,4,0,0,0,0
Alabama,2020-07-13,4,6,19,1,7,1,0,2,7,0,1,2,0
Alabama,2020-07-14,4,0,24,0,13,3,1,0,7,0,0,2,0
Alabama,2020-07-15,0,4,40,1,11,2,2,0,5,0,0,0,0
Alabama,2020-07-16,2,0,37,0,11,3,1,1,8,0,2,1,1
Alabama,2020-07-17,2,6,44,0,5,2,0,9,3,0,2,1,1
Alabama,2020-07-18,1,3,36,1,5,0,0,15,0,0,0,0,0
Alabama,2020-07-19,0,2,25,0,9,0,0,9,4,0,0,0,0
Alabama,2020-07-20,2,10,22,2,8,0,0,3,2,0,0,2,0
Alabama,2020-07-21,25,9,10,2,8,0,0,4,0,0,0,2,0
Alabama,2020-07-22,2,2,9,0,12,0,3,2,2,0,0,2,0
Alabama,2020-07-23,1,9,14,0,4,0,0,1,5,0,0,1,0
Alabama,2020-07-24,0,0,11,0,3,0,0,0,5,0,0,0,0
Alabama,2020-07-25,0,3,6,0,1,0,0,2,2,0,0,0,0
Alabama,2020-07-26,2,5,10,0,6,0,0,1,0,0,0,0,0
Alabama,2020-07-27,3,3,8,1,0,22,1,23,0,2,0,1,0
Alabama,2020-07-28,3,4,17,0,8,12,0,13,5,1,0,2,0
Alabama,2020-07-29,7,5,18,0,5,1,0,0,3,0,0,0,0
Alabama,2020-07-30,10,0,31,0,1,1,0,1,2,0,0,0,0
Alabama,2020-07-31,4,1,25,1,4,0,0,2,3,0,0,1,0
Alabama,2020-08-01,1,3,9,0,26,0,0,1,2,0,0,1,0
Alabama,2020-08-02,2,3,12,0,17,0,0,0,3,0,0,1,0
Alabama,2020-08-03,1,2,17,0,9,0,0,1,2,0,1,3,0
Alabama,2020-08-04,2,0,21,1,3,0,2,2,6,0,0,0,1
Alabama,2020-08-05,0,1,17,0,5,1,2,2,4,0,0,0,0
Alabama,2020-08-06,1,9,6,0,4,0,0,0,0,0,0,0,0
Alabama,2020-08-07,1,0,15,0,1,1,0,1,0,0,0,0,0
Alabama,2020-08-08,1,1,9,0,0,0,0,2,1,0,0,0,0
Alabama,2020-08-09,0,0,8,0,1,0,0,3,0,0,0,1,0
Alabama,2020-08-10,0,2,17,0,5,1,0,4,1,0,0,0,0
Alabama,2020-08-11,1,42,84,0,1,2,0,1,1,0,0,2,0
Alabama,2020-08-12,1,6,11,0,15,0,0,1,0,0,0,0,0
Alabama,2020-08-13,1,1,7,0,1,0,0,0,17,0,1,0,0
Alabama,2020-08-14,1,0,11,0,2,0,0,4,2,0,0,0,0
Alabama,2020-08-15,1,3,7,0,14,0,0,0,0,0,0,0,0
Alabama,2020-08-16,1,0,7,0,3,0,0,0,0,0,0,0,0
Alabama,2020-08-17,0,2,9,0,1,0,0,3,0,0,0,0,0
Alabama,2020-08-18,5,3,10,0,6,0,0,4,0,0,0,2,0
Alabama,2020-08-19,1,2,35,0,14,0,0,1,0,0,0,1,0
Alabama,2020-08-20,0,1,14,0,3,0,0,9,4,0,0,0,0
Alabama,2020-08-21,2,4,51,0,3,0,0,3,9,0,0,0,0
Alabama,2020-08-22,0,3,3,0,0,0,0,0,1,0,0,0,0
Alabama,2020-08-23,0,0,12,0,1,0,0,0,0,0,0,0,0
Alabama,2020-08-24,1,2,7,0,5,0,0,0,0,0,0,2,0
Alabama,2020-08-25,3,1,1,1,6,0,0,2,0,0,0,3,1
Alabama,2020-08-26,1,5,6,0,3,0,0,1,0,0,0,0,0
Alabama,2020-08-27,1,1,8,0,0,0,0,1,0,0,0,1,0
Alabama,2020-08-28,3,2,4,0,0,0,0,0,0,0,0,0,0
Alabama,2020-08-29,0,2,7,0,6,0,0,1,0,0,0,0,0
Alabama,2020-08-30,3,5,29,0,9,0,0,0,0,0,0,0,0
Alabama,2020-08-31,4,5,28,0,4,0,0,2,0,0,0,3,0
Alabama,2020-09-01,2,1,20,0,5,0,0,3,0,0,0,3,0
Alabama,2020-09-02,0,2,9,0,4,0,0,6,0,0,0,0,0
Alabama,2020-09-03,1,3,12,0,3,0,0,7,6,0,0,2,0
Alabama,2020-09-04,0,0,12,0,1,0,0,1,0,0,0,0,0
Alabama,2020-09-05,0,7,10,0,0,1,0,3,0,0,0,0,0
Alabama,2020-09-06,2,2,4,0,1,0,0,3,0,0,0,2,0
Alabama,2020-09-07,0,2,5,0,2,0,0,0,3,0,0,0,0
Alabama,2020-09-08,1,2,23,0,0,0,0,0,0,0,0,0,0
Alabama,2020-09-09,1,1,56,0,3,0,0,4,0,0,0,4,1
Alabama,2020-09-10,1,0,61,0,3,0,0,2,0,0,0,0,0
Alabama,2020-09-11,1,0,21,0,0,0,0,0,0,0,0,0,0
Alabama,2020-09-12,0,2,10,0,0,0,0,0,0,0,0,0,0
Alabama,2020-09-13,0,1,10,0,3,0,0,0,4,0,0,0,0
Alabama,2020-09-14,2,1,12,0,2,0,0,1,3,0,0,0,0
Alabama,2020-09-15,0,1,6,0,6,0,0,3,0,0,0,0,0
Alaska,2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-03-12,1,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,2020-03-13,0,0,6,0,4,0,0,1,0,0,0,1,0
Alaska,2020-03-14,0,2,12,0,1,0,0,6,0,0,0,3,0
Alaska,2020-03-15,0,0,5,0,7,0,0,2,0,0,0,1,0
Alaska,2020-03-16,0,1,11,0,1,0,0,3,0,0,0,1,0
Alaska,2020-03-17,6,0,6,2,3,0,0,1,0,0,0,0,0
Alaska,2020-03-18,2,0,9,0,2,3,0,1,1,0,0,1,0
Alaska,2020-03-19,1,1,11,0,1,0,0,0,0,0,0,2,0
Alaska,2020-03-20,2,0,12,0,15,0,0,4,0,0,0,1,0
Alaska,2020-03-21,0,1,6,0,4,0,0,0,0,0,0,24,0
Alaska,2020-03-22,0,0,4,0,0,0,0,3,0,0,0,15,0
Alaska,2020-03-23,1,0,4,0,1,1,0,1,15,0,0,1,0
Alaska,2020-03-24,0,2,1,0,0,1,0,0,1,0,0,3,0
Alaska,2020-03-25,1,0,6,1,0,0,0,2,0,0,0,0,0
Alaska,2020-03-26,1,1,9,0,2,0,0,0,1,0,0,0,0
Alaska,2020-03-27,1,7,14,0,4,0,0,1,0,0,0,1,0
Alaska,2020-03-28,0,0,17,0,2,1,0,2,0,0,0,1,0
Alaska,2020-03-29,0,1,2,0,14,1,0,0,0,0,0,0,0
Alaska,2020-03-30,0,0,4,0,6,0,0,0,0,0,0,0,0
Alaska,2020-03-31,0,0,12,0,12,0,0,0,2,0,0,0,0
Alaska,2020-04-01,0,1,16,0,2,0,0,2,3,0,0,0,0
Alaska,2020-04-02,0,0,2,1,9,0,0,2,5,0,1,3,0
Alaska,2020-04-03,0,1,4,0,4,1,0,3,3,0,0,3,0
Alaska,2020-04-04,2,1,4,0,0,0,0,1,0,0,0,4,0
Alaska,2020-04-05,0,1,12,0,5,0,0,0,0,0,0,0,0
Alaska,2020-04-06,1,0,17,0,8,0,0,0,0,0,0,1,0
Alaska,2020-04-07,0,0,12,0,1,1,0,1,1,0,0,0,0
Alaska,2020-04-08,1,0,6,0,5,0,0,3,0,0,0,1,0
Alaska,2020-04-09,0,2,1,0,3,1,0,1,0,0,0,1,0
Alaska,2020-04-10,0,1,8,0,3,0,0,0,0,0,0,0,0
Alaska,2020-04-11,2,1,9,0,2,0,0,0,3,0,0,0,0
Alaska,2020-04-12,0,2,22,0,1,0,0,0,0,0,0,0,0
Alaska,2020-04-13,1,1,7,0,1,0,0,0,0,0,1,0,0
Alaska,2020-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-04-15,0,2,4,0,7,0,0,1,2,0,0,2,0
Alaska,2020-04-16,1,0,4,0,2,1,0,1,0,0,0,1,0
Alaska,2020-04-17,1,0,12,0,0,0,0,3,2,0,0,2,0
Alaska,2020-04-18,0,2,13,0,0,0,0,0,5,0,0,0,0
Alaska,2020-04-19,0,2,13,0,1,0,0,1,1,0,0,0,1
Alaska,2020-04-20,2,1,6,0,0,0,0,0,0,0,0,0,0
Alaska,2020-04-21,1,3,2,0,0,0,0,0,0,0,0,0,0
Alaska,2020-04-22,1,2,14,0,1,0,0,0,3,0,0,0,0
Alaska,2020-04-23,1,0,10,0,1,0,0,3,0,0,0,1,0
Alaska,2020-04-24,3,0,9,0,0,0,0,1,0,0,0,0,0
Alaska,2020-04-25,0,0,0,0,6,0,0,0,0,0,0,0,0
Alaska,2020-04-26,2,1,5,0,2,0,0,0,5,0,0,0,1
Alaska,2020-04-27,1,1,6,0,5,0,0,3,0,0,0,3,0
Alaska,2020-04-28,0,0,26,0,1,0,0,0,1,0,0,1,0
Alaska,2020-04-29,1,0,14,0,0,0,0,1,0,0,0,2,0
Alaska,2020-04-30,0,2,6,0,2,0,0,0,0,0,0,0,0
Alaska,2020-05-01,0,2,1,0,0,0,0,0,0,0,0,0,0
Alaska,2020-05-02,1,0,5,0,1,0,1,2,0,0,0,2,0
Alaska,2020-05-03,0,0,4,0,0,0,0,0,0,0,0,0,0
Alaska,2020-05-04,1,0,1,1,0,1,0,1,0,0,0,1,0
Alaska,2020-05-05,0,2,2,0,3,0,0,1,2,0,0,1,0
Alaska,2020-05-06,0,1,5,0,0,0,0,0,2,0,0,0,0
Alaska,2020-05-07,0,1,2,0,1,0,0,0,0,0,0,0,0
Alaska,2020-05-08,0,0,4,0,2,0,0,1,0,0,0,0,0
Alaska,2020-05-09,0,0,1,1,2,0,0,4,0,0,0,0,1
Alaska,2020-05-10,0,0,2,1,1,0,0,2,0,0,0,0,1
Alaska,2020-05-11,0,0,1,0,1,1,0,1,0,0,0,1,0
Alaska,2020-05-12,0,1,2,0,2,1,0,0,0,0,0,0,0
Alaska,2020-05-13,0,0,4,0,0,0,0,0,0,0,0,0,0
Alaska,2020-05-14,1,1,4,0,1,1,0,1,0,0,0,0,0
Alaska,2020-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-05-17,0,1,3,0,0,0,0,1,0,0,0,0,0
Alaska,2020-05-18,0,0,4,0,2,0,1,0,0,0,0,0,0
Alaska,2020-05-19,1,1,3,1,0,0,0,1,0,0,0,1,0
Alaska,2020-05-20,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-05-21,0,0,2,0,1,0,0,0,1,0,0,0,0
Alaska,2020-05-22,0,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,2020-05-23,0,0,2,0,0,0,0,0,0,0,0,0,0
Alaska,2020-05-24,0,1,1,0,2,0,0,0,0,0,0,0,0
Alaska,2020-05-25,0,0,0,0,0,0,0,6,0,0,0,0,0
Alaska,2020-05-26,0,1,4,0,0,2,0,4,0,0,0,0,0
Alaska,2020-05-27,0,2,9,0,0,0,0,0,0,0,0,0,0
Alaska,2020-05-28,3,0,3,2,0,0,0,2,0,0,0,0,0
Alaska,2020-05-29,1,1,1,0,23,0,0,1,0,0,0,0,0
Alaska,2020-05-30,2,1,0,0,1,0,0,0,0,0,0,0,0
Alaska,2020-05-31,0,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,2020-06-01,0,2,1,0,0,0,0,0,0,0,0,1,0
Alaska,2020-06-02,0,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,2020-06-03,0,0,0,0,2,0,0,0,3,0,0,0,0
Alaska,2020-06-04,0,0,1,0,0,0,0,0,0,0,0,0,0
Alaska,2020-06-05,0,1,1,0,0,0,0,0,0,0,0,0,0
Alaska,2020-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-06-07,0,0,0,0,1,0,0,0,0,0,0,0,0
Alaska,2020-06-08,0,0,1,0,2,0,0,2,0,0,0,2,0
Alaska,2020-06-10,0,1,3,0,0,0,0,0,0,0,0,0,0
Alaska,2020-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-06-12,1,0,1,0,1,0,0,0,0,0,0,0,0
Alaska,2020-06-13,0,1,2,0,0,0,0,0,0,0,0,0,0
Alaska,2020-06-14,0,2,0,0,3,0,0,0,0,0,0,0,0
Alaska,2020-06-15,0,0,2,0,1,1,0,0,0,0,0,0,0
Alaska,2020-06-16,0,0,4,0,8,0,0,4,0,0,0,2,0
Alaska,2020-06-17,0,0,0,0,3,0,0,0,0,0,0,0,0
Alaska,2020-06-18,0,0,5,0,1,0,0,0,2,0,0,1,0
Alaska,2020-06-19,2,1,3,0,2,0,0,0,0,0,1,0,0
Alaska,2020-06-22,2,0,3,0,0,0,0,1,8,0,1,1,0
Alaska,2020-06-23,0,0,10,0,9,0,0,1,1,0,0,2,0
Alaska,2020-06-24,0,2,20,0,0,0,0,0,0,0,0,2,0
Alaska,2020-06-25,1,18,1,0,1,0,0,0,3,0,0,0,0
Alaska,2020-06-26,0,13,2,0,2,0,0,1,2,0,0,0,0
Alaska,2020-06-27,0,1,3,0,3,0,0,0,0,0,0,0,0
Alaska,2020-06-29,0,0,4,0,2,0,0,0,1,0,0,1,0
Alaska,2020-06-30,2,0,3,0,2,0,0,1,0,0,0,0,0
Alaska,2020-07-01,2,3,4,0,4,0,0,2,0,0,0,0,0
Alaska,2020-07-02,5,2,2,0,1,0,0,1,0,0,0,1,0
Alaska,2020-07-03,1,0,8,0,5,0,0,9,0,0,0,0,0
Alaska,2020-07-04,0,1,4,0,2,0,0,21,0,0,0,0,0
Alaska,2020-07-05,1,0,1,0,2,0,0,4,2,0,0,2,0
Alaska,2020-07-06,0,0,3,0,3,0,0,2,0,0,0,2,0
Alaska,2020-07-07,0,0,6,0,0,0,0,1,0,0,0,0,0
Alaska,2020-07-08,0,0,2,0,6,0,0,1,0,0,0,4,0
Alaska,2020-07-09,3,1,10,3,9,1,6,5,0,0,0,0,1
Alaska,2020-07-10,5,4,4,1,11,0,2,3,0,0,0,0,0
Alaska,2020-07-11,3,3,0,0,5,0,0,0,1,0,0,0,0
Alaska,2020-07-12,1,2,7,1,3,0,0,0,0,0,0,2,0
Alaska,2020-07-13,0,1,15,0,0,0,0,1,0,0,0,1,0
Alaska,2020-07-14,1,0,8,0,3,1,0,0,7,0,6,1,0
Alaska,2020-07-15,1,1,17,0,1,0,0,0,4,0,0,0,0
Alaska,2020-07-16,1,0,9,0,2,1,0,0,1,0,0,0,0
Alaska,2020-07-17,2,3,26,0,1,0,0,1,0,0,0,3,0
Alaska,2020-07-18,0,0,7,0,2,0,0,1,1,0,0,0,0
Alaska,2020-07-19,0,2,5,0,0,1,0,2,3,0,0,0,0
Alaska,2020-07-20,0,2,5,0,0,0,0,0,0,0,0,0,0
Alaska,2020-07-21,8,0,13,0,2,0,0,1,0,0,1,0,0
Alaska,2020-07-22,2,0,4,0,3,0,0,3,0,0,0,0,0
Alaska,2020-07-23,5,2,10,0,2,0,0,0,3,0,0,0,0
Alaska,2020-07-24,0,2,10,0,2,0,0,0,5,0,0,0,0
Alaska,2020-07-25,0,0,2,0,2,0,0,1,2,0,0,1,0
Alaska,2020-07-26,2,0,1,0,0,0,0,1,0,0,0,0,0
Alaska,2020-07-27,0,1,1,0,1,15,0,17,1,0,0,0,0
Alaska,2020-07-28,8,1,7,0,0,5,0,6,0,0,0,3,0
Alaska,2020-07-29,7,1,3,0,2,2,1,2,0,0,0,4,0
Alaska,2020-07-30,0,0,8,0,0,1,0,1,2,0,0,0,0
Alaska,2020-07-31,2,0,2,0,0,0,0,0,8,0,0,0,0
Alaska,2020-08-01,2,1,1,0,5,0,0,0,0,0,0,2,2
Alaska,2020-08-02,2,7,3,0,8,0,0,1,0,0,0,1,1
Alaska,2020-08-03,1,32,8,0,6,0,0,1,1,0,0,1,0
Alaska,2020-08-04,1,0,4,0,1,0,0,0,1,0,0,1,0
Alaska,2020-08-05,0,0,7,0,2,0,0,0,0,0,0,0,0
Alaska,2020-08-06,0,0,4,0,8,0,0,0,5,0,0,0,0
Alaska,2020-08-07,2,1,2,0,0,0,0,2,0,0,0,1,0
Alaska,2020-08-08,1,0,2,0,0,0,0,1,1,0,0,0,0
Alaska,2020-08-09,0,2,6,0,0,0,0,0,0,0,0,0,0
Alaska,2020-08-10,0,1,1,0,1,0,0,0,0,0,0,0,0
Alaska,2020-08-11,1,23,22,0,2,1,0,1,0,0,0,0,0
Alaska,2020-08-12,2,0,8,0,0,0,0,2,0,0,0,0,0
Alaska,2020-08-13,3,1,10,0,1,0,0,0,0,0,0,0,0
Alaska,2020-08-14,0,1,5,1,3,0,0,1,1,0,0,0,0
Alaska,2020-08-15,0,3,1,0,5,0,0,0,1,0,0,0,0
Alaska,2020-08-16,0,0,1,0,0,0,0,1,1,0,0,0,0
Alaska,2020-08-17,3,2,1,0,0,3,0,1,0,0,1,1,0
Alaska,2020-08-18,2,0,1,0,0,0,0,1,0,0,0,0,0
Alaska,2020-08-19,0,0,12,0,4,0,0,0,0,0,0,0,0
